🚀 fix-catalog-db.mjs — Limpeza e enriquecimento do catálogo
   Supabase: (definir VITE_SUPABASE_URL no .env — projeto atual)
   Min year: 2022
   Mode: ⚠️  DRY-RUN (sem gravação)
   Step: pre2022

📦 Carregando todos os registros...
   Total carregado: 36256

📅 FASE 1 — Removendo conteúdo anterior a 2022...
  ✂️  [pre-2022] movie "Violet Evergarden: O Filme [L] (2020)" (2020) id=00bfca8e-bbf5-438d-aec3-63a2da4e7ff3
  ✂️  [pre-2022] movie "O Acre Existe (2014)" (2014) id=00c69829-72f2-4f28-8be2-f5202247124f
  ✂️  [pre-2022] movie "A Canção de Ninar de Katherine [L] (2020)" (2020) id=00ca32f8-e6d7-4a67-8d84-94d790bbb82b
  ✂️  [pre-2022] movie "Pandemia: A Guerra Final (2021)" (2021) id=00cd5d31-c63b-410a-ad41-f1c012879070
  ✂️  [pre-2022] movie "Uma Canção de Natal (2017)" (2017) id=00ce44dc-eb99-43d1-963a-29cab068d76f
  ✂️  [pre-2022] movie "Programada para Matar [L] (2021)" (2021) id=00d9a0d6-8b21-4aaa-80b9-da7bda846fcb
  ✂️  [pre-2022] movie "S.O.S.: Mulheres ao Mar (2014)" (2014) id=00e12c4c-e15f-465d-9b88-f164f262280f
  ✂️  [pre-2022] movie "Operação Final (2018)" (2018) id=00e800d1-b54c-4a1a-bd80-74be08b32c6d
  ✂️  [pre-2022] movie "Um Santo Plano [L] (2019)" (2019) id=00f43c5a-f4b3-43d6-890a-72b54c7fcfdb
  ✂️  [pre-2022] movie "Todo o Dinheiro do Mundo (2017)" (2017) id=00f5123c-5ca3-46df-86df-9159ae88ea0a
  ✂️  [pre-2022] movie "Feliz Aniversário Para Mim (1981)" (1981) id=00f7de6c-7464-42de-b025-44f22afc5442
  ✂️  [pre-2022] movie "Um Filho Perigoso [L] (2018)" (2018) id=00f8defe-e54a-4db0-975a-202506eeea57
  ✂️  [pre-2022] movie "Tarzan e Jane (2002)" (2002) id=00fe48eb-7eb2-43ed-aa79-365c98c9fed7
  ✂️  [pre-2022] movie "Conexão de Elite (2016)" (2016) id=0102599e-05d5-4f88-b129-7f19ae808f65
